NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 37.54   Longitude 126.96
Elevation (meters): Average for one degree lat/lon region = 122   Site = na
Climate zone: 5 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day) 

YEAR MO DY swv_dwn
1990 06 03    5.70
1990 06 04    7.21
1990 06 05    6.50
1990 06 06    6.57
1990 06 07    6.04
1990 06 08    1.30
1990 06 09    4.85
1990 06 10    5.39
1990 06 11    4.15
1990 06 12    5.28
1990 06 13    6.44
1990 06 14    2.68
1990 06 15    1.74
1990 06 16    7.44
1990 06 17    7.33
1990 06 18    0.50
1990 06 19    1.57
1990 06 20    2.92
1990 06 21    2.19
1990 06 22    2.37
1990 06 23    2.90
1990 06 24    2.21
1990 06 25    2.15
1990 06 26    2.97
1990 06 27    4.44
1990 06 28    3.20
1990 06 29    4.59
1990 06 30    4.84
1990 07 01    6.99
1990 07 02    1.94
1990 07 03    3.67
1990 07 04    6.38
1990 07 05    5.85
1990 07 06    3.18
1990 07 07    2.30
1990 07 08    4.24
1990 07 09    5.28
1990 07 10    5.15
1990 07 11    2.51
1990 07 12    6.73
1990 07 13    4.56
1990 07 14    1.61
1990 07 15    2.66
1990 07 16    4.06
1990 07 17    1.88
1990 07 18    3.27
1990 07 19    4.64
1990 07 20    1.48
1990 07 21    2.43
1990 07 22    2.90
1990 07 23    0.95
1990 07 24    2.42
1990 07 25    4.32
1990 07 26    4.79
1990 07 27    3.16
1990 07 28    5.51
1990 07 29    6.19
1990 07 30    6.31
1990 07 31    6.85
1990 08 01    7.15
1990 08 02    5.77
1990 08 03    6.26
1990 08 04    5.93
1990 08 05    5.11
1990 08 06    7.08
1990 08 07    6.29
1990 08 08    5.53
1990 08 09    5.21
1990 08 10    5.10
1990 08 11    6.83
1990 08 12    6.38
1990 08 13    6.54
1990 08 14    3.44
1990 08 15    5.75
1990 08 16    1.60
1990 08 17    6.24
1990 08 18    2.88
1990 08 19    1.21
1990 08 20    1.38
1990 08 21    0.59
1990 08 22    1.41
1990 08 23    6.24
1990 08 24    5.90
1990 08 25    5.48
1990 08 26    4.86
1990 08 27    4.86
1990 08 28    5.12
1990 08 29    5.14
1990 08 30    5.40
1990 08 31    0.65
1990 09 01    0.34
1990 09 02    1.69
1990 09 03    4.71
1990 09 04    4.78
1990 09 05    3.22
1990 09 06    2.41
1990 09 07    5.67
1990 09 08    3.34
1990 09 09    2.06
1990 09 10    0.22
1990 09 11    0.37
1990 09 12    4.49
1990 09 13    5.20
1990 09 14    2.58
1990 09 15    6.08
1990 09 16    4.99
1990 09 17    2.62
1990 09 18    5.75
1990 09 19    5.88
1990 09 20    5.53
1990 09 21    4.53
1990 09 22    4.17
1990 09 23    1.58
1990 09 24    4.44
1990 09 25    5.42
1990 09 26    5.08
1990 09 27    3.04
1990 09 28    4.28
1990 09 29    4.55
1990 09 30    4.01
1990 10 01    5.20
1990 10 02    5.42
1990 10 03    3.32
1990 10 04    5.08
1990 10 05    4.63
1990 10 06    4.58
1990 10 07    4.56
1990 10 08    4.52
1990 10 09    4.92
1990 10 10    4.71
1990 10 11    3.10
1990 10 12    4.35
1990 10 13    3.54
1990 10 14    4.07
1990 10 15    3.70
1990 10 16    4.01
1990 10 17    4.36
1990 10 18    4.31
1990 10 19    4.12
1990 10 20    4.25
1990 10 21    4.09
1990 10 22    4.08
1990 10 23    4.00
1990 10 24    2.96
1990 10 25    1.77
1990 10 26    3.82
1990 10 27    3.88
1990 10 28    3.56
1990 10 29    3.35
1990 10 30    3.63
1990 10 31    3.00
1990 11 01    2.88
1990 11 02    2.86
1990 11 03    2.98
1990 11 04    3.97
1990 11 05    2.68
1990 11 06    1.24
1990 11 07    3.72
1990 11 08    2.03
1990 11 09    1.64
1990 11 10    3.36
1990 11 11    3.06
1990 11 12    2.88
1990 11 13    2.43
1990 11 14    2.46
1990 11 15    2.90
1990 11 16    2.40
1990 11 17    2.24
1990 11 18    1.77
1990 11 19    0.82
1990 11 20    3.20
1990 11 21    3.32
1990 11 22    2.04
1990 11 23    3.47
1990 11 24    2.36
1990 11 25    2.62
1990 11 26    2.80
1990 11 27    2.97
1990 11 28    3.29
1990 11 29    3.08
1990 11 30    1.91
1990 12 01    1.39
1990 12 02    2.07
1990 12 03    1.93
1990 12 04    3.24
1990 12 05    2.34
1990 12 06    2.16
1990 12 07    2.47
1990 12 08    2.43
1990 12 09    1.93
1990 12 10    2.23
1990 12 11    2.79
1990 12 12    2.13
1990 12 13    1.03
1990 12 14    2.95
1990 12 15    2.75
1990 12 16    3.23
1990 12 17    1.54
1990 12 18    3.18
1990 12 19    3.11
