NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude -2.2   Longitude -65.7
Elevation (meters): Average for one degree lat/lon region = 55   Site = na
Climate zone: 1 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1990 02 27    3.80
1990 02 28    0.99
1990 03 01    5.43
1990 03 02    5.54
1990 03 03    4.24
1990 03 04    3.81
1990 03 05    5.04
1990 03 06    6.62
1990 03 07    3.22
1990 03 08    5.06
1990 03 09    4.43
1990 03 10    4.93
1990 03 11    2.05
1990 03 12    2.51
1990 03 13    2.85
1990 03 14    5.67
1990 03 15    4.74
1990 03 16    5.85
1990 03 17    3.56
1990 03 18    4.75
1990 03 19    4.62
1990 03 20    5.35
1990 03 21    3.44
1990 03 22    4.70
1990 03 23    4.82
1990 03 24    2.79
1990 03 25    3.07
1990 03 26    4.93
1990 03 27    5.67
1990 03 28    3.18
1990 03 29    2.86
1990 03 30    6.25
1990 03 31    3.41
1990 04 01    4.12
1990 04 02    4.09
1990 04 03    4.56
1990 04 04    5.05
1990 04 05    4.69
1990 04 06    2.19
1990 04 07    3.46
1990 04 08    4.97
1990 04 09    5.68
1990 04 10    2.65
1990 04 11    2.42
1990 04 12    5.49
1990 04 13    5.15
1990 04 14    3.77
1990 04 15    3.63
1990 04 16    5.73
1990 04 17    6.06
1990 04 18    3.18
1990 04 19    1.71
1990 04 20    4.14
1990 04 21    1.76
1990 04 22    4.67
1990 04 23    3.44
1990 04 24    5.01
1990 04 25    1.76
1990 04 26    6.04
1990 04 27    5.81
1990 04 28    4.16
1990 04 29    4.66
1990 04 30    5.29
1990 05 01    5.51
1990 05 02    3.93
1990 05 03    3.34
1990 05 04    5.68
1990 05 05    6.19
1990 05 06    5.30
1990 05 07    2.91
1990 05 08    6.20
1990 05 09    5.59
1990 05 10    4.79
1990 05 11    5.07
1990 05 12    4.82
1990 05 13    4.33
1990 05 14    3.19
1990 05 15    5.53
1990 05 16    5.50
1990 05 17    4.64
1990 05 18    3.66
1990 05 19    3.44
1990 05 20    2.87
1990 05 21    2.27
1990 05 22    1.88
1990 05 23    2.38
1990 05 24    2.32
1990 05 25    4.23
1990 05 26    4.30
1990 05 27    5.04
1990 05 28    4.91
1990 05 29    4.33
1990 05 30    3.84
1990 05 31    5.48
1990 06 01    5.02
1990 06 02    4.16
1990 06 03    2.34
1990 06 04    4.32
1990 06 05    5.13
1990 06 06    5.60
1990 06 07    5.61
1990 06 08    2.78
1990 06 09    4.51
1990 06 10    3.61
1990 06 11    2.69
1990 06 12    3.59
1990 06 13    4.18
1990 06 14    3.71
1990 06 15    3.96
1990 06 16    5.22
1990 06 17    4.50
1990 06 18    4.60
1990 06 19    5.04
1990 06 20    5.11
1990 06 21    2.68
1990 06 22    4.87
1990 06 23    4.42
1990 06 24    4.42
1990 06 25    3.18
1990 06 26    3.10
1990 06 27    5.13
1990 06 28    3.13
1990 06 29    5.26
1990 06 30    4.62
1990 07 01    4.67
1990 07 02    5.72
1990 07 03    4.24
1990 07 04    4.96
1990 07 05    2.35
1990 07 06    3.55
1990 07 07    4.88
1990 07 08    2.94
1990 07 09    4.85
1990 07 10    2.71
1990 07 11    2.05
1990 07 12    3.44
1990 07 13    4.33
1990 07 14    4.00
1990 07 15    5.41
1990 07 16    5.41
1990 07 17    5.96
1990 07 18    4.44
1990 07 19    6.00
1990 07 20    4.90
1990 07 21    5.28
1990 07 22    2.98
1990 07 23    3.43
1990 07 24    4.32
1990 07 25    5.42
1990 07 26    3.22
1990 07 27    2.69
1990 07 28    3.20
1990 07 29    3.72
1990 07 30    4.83
1990 07 31    5.03
1990 08 01    4.57
1990 08 02    5.11
1990 08 03    4.04
1990 08 04    4.19
1990 08 05    6.22
1990 08 06    5.35
1990 08 07    5.58
1990 08 08    4.46
1990 08 09    2.26
1990 08 10    4.28
1990 08 11    2.22
1990 08 12    1.75
1990 08 13    5.64
1990 08 14    4.89
1990 08 15    5.46
1990 08 16    6.04
1990 08 17    5.84
1990 08 18    6.22
1990 08 19    6.57
1990 08 20    6.09
1990 08 21    5.58
1990 08 22    5.92
1990 08 23    6.43
1990 08 24    1.29
1990 08 25    5.31
1990 08 26    5.45
1990 08 27    6.10
1990 08 28    4.24
1990 08 29    4.92
1990 08 30    3.19
1990 08 31    6.51
1990 09 01    6.24
1990 09 02    4.95
1990 09 03    4.75
1990 09 04    4.03
1990 09 05    5.71
1990 09 06    4.78
1990 09 07    6.98
1990 09 08    4.45
1990 09 09    6.01
1990 09 10    5.69
1990 09 11    6.16
1990 09 12    5.64
1990 09 13    5.69
1990 09 14    1.79
1990 09 15    5.50
1990 09 16    5.69
1990 09 17    3.82
1990 09 18    6.10
1990 09 19    6.38
1990 09 20    6.88
1990 09 21    6.36
1990 09 22    4.80
1990 09 23    4.48
1990 09 24    2.00
1990 09 25    2.65
1990 09 26    5.97
1990 09 27    6.03
1990 09 28    4.26
1990 09 29    4.19
1990 09 30    4.64
1990 10 01    6.21
1990 10 02    6.55
1990 10 03    3.47
1990 10 04    5.82
1990 10 05    6.36
1990 10 06    7.05
1990 10 07    6.01
1990 10 08    5.55
1990 10 09    4.85
1990 10 10    5.12
1990 10 11    5.71
1990 10 12    3.61
1990 10 13    5.84
1990 10 14    6.90
1990 10 15    6.08
1990 10 16    4.84
1990 10 17    5.80
1990 10 18    3.43
1990 10 19    5.48
1990 10 20    4.98
1990 10 21    1.82
1990 10 22    5.82
1990 10 23    6.32
1990 10 24    5.80
1990 10 25    3.00
1990 10 26    5.51
1990 10 27    6.61
1990 10 28    5.61
1990 10 29    6.76
1990 10 30    4.11
1990 10 31    3.26
1990 11 01    5.91
1990 11 02    6.67
1990 11 03    5.15
1990 11 04    6.95
1990 11 05    6.75
1990 11 06    4.70
1990 11 07    4.46
1990 11 08    5.57
1990 11 09    5.56
1990 11 10    5.98
1990 11 11    5.67
1990 11 12    5.68
1990 11 13    4.95
1990 11 14    6.17
1990 11 15    5.39
1990 11 16    6.16
1990 11 17    3.82
1990 11 18    5.03
1990 11 19    3.29
1990 11 20    4.23
1990 11 21    5.46
1990 11 22    4.02
1990 11 23    5.31
1990 11 24    4.56
1990 11 25    3.59
1990 11 26    4.81
1990 11 27    4.66
1990 11 28    5.20
1990 11 29    5.21
1990 11 30    5.67
1990 12 01    5.64
1990 12 02    2.53
1990 12 03    3.33
1990 12 04    3.43
1990 12 05    2.48
1990 12 06    4.63
1990 12 07    5.59
1990 12 08    5.41
1990 12 09    4.20
1990 12 10    5.41
1990 12 11    6.24
1990 12 12    6.07
1990 12 13    6.04
1990 12 14    5.52
1990 12 15    2.13
1990 12 16    2.40
1990 12 17    5.69
1990 12 18    5.87
1990 12 19    2.58
1990 12 20    4.46
1990 12 21    3.79
1990 12 22    5.19
1990 12 23    2.21
1990 12 24    1.71
1990 12 25    3.71
1990 12 26    2.73
1990 12 27    5.26
1990 12 28    4.41
1990 12 29    3.81
1990 12 30    4.35
1990 12 31    2.78
1991 01 01    4.57
1991 01 02    5.52
1991 01 03    5.73
1991 01 04    6.44
1991 01 05    2.39
1991 01 06    3.48
1991 01 07    4.38
1991 01 08    5.75
1991 01 09    5.67
1991 01 10    4.24
1991 01 11    3.39
1991 01 12    2.20
1991 01 13    5.98
1991 01 14    5.71
1991 01 15    6.57
1991 01 16    6.28
1991 01 17    6.23
1991 01 18    4.54
1991 01 19    5.11
1991 01 20    4.18
1991 01 21    5.02
1991 01 22    4.20
1991 01 23    4.96
1991 01 24    4.84
1991 01 25    5.34
1991 01 26    4.67
1991 01 27    2.86
1991 01 28    5.49
1991 01 29    5.93
1991 01 30    5.17
1991 01 31    4.98
1991 02 01    5.53
1991 02 02    4.36
1991 02 03    4.36
1991 02 04    5.53
1991 02 05    5.34
1991 02 06    4.17
1991 02 07    5.77
1991 02 08    4.62
1991 02 09    5.30
1991 02 10    5.91
1991 02 11    4.41
1991 02 12    4.25
1991 02 13    4.38
1991 02 14    5.37
1991 02 15    6.21
1991 02 16    3.85
1991 02 17    4.83
1991 02 18    4.10
1991 02 19    4.74
1991 02 20    4.00
1991 02 21    2.48
1991 02 22    4.57
1991 02 23    4.19
1991 02 24    6.74
1991 02 25    3.35
1991 02 26    4.73
1991 02 27    3.08
1991 02 28    5.25
1991 03 01    6.95
1991 03 02    6.58
1991 03 03    6.04
1991 03 04    6.36
1991 03 05    6.21
1991 03 06    3.78
1991 03 07    5.27
1991 03 08    3.06
1991 03 09    5.41
1991 03 10    3.13
1991 03 11    5.55
1991 03 12    3.43
1991 03 13    4.99
1991 03 14    5.30
1991 03 15    6.71
1991 03 16    5.89
