NASA Surface meteorology and Solar Energy: Daily Averaged Data
Dates (month/day/year): 01/01/1989 through 12/31/2000
Location: Latitude 62.4   Longitude -77.9
Elevation (meters): Average for one degree lat/lon region = 63   Site = na
Climate zone: 8 (reference Briggs et al, http://www.energycodes.gov)
Parameter(s):
swv_dwn     Average Insolation Incident On A Horizontal Surface (kWh/m^2/day)

YEAR MO DY swv_dwn
1990 03 21    1.06
1990 03 22    1.53
1990 03 23    1.66
1990 03 24    1.32
1990 03 25    0.63
1990 03 26    1.71
1990 03 27    2.17
1990 03 28    1.66
1990 03 29    3.83
1990 03 30    2.17
1990 03 31    2.23
1990 04 01    2.21
1990 04 02    3.11
1990 04 03    3.17
1990 04 04    2.94
1990 04 05    3.82
1990 04 06    4.08
1990 04 07    2.67
1990 04 08    3.72
1990 04 09    4.11
1990 04 10    3.08
1990 04 11    4.11
1990 04 12    4.30
1990 04 13    3.43
1990 04 14    3.10
1990 04 15    2.44
1990 04 16    4.62
1990 04 17    3.99
1990 04 18    4.42
1990 04 19    3.38
1990 04 20    3.51
1990 04 21    5.10
1990 04 22    5.67
1990 04 23    3.87
1990 04 24    3.74
1990 04 25    5.37
1990 04 26    6.28
1990 04 27    5.40
1990 04 28    5.05
1990 04 29    2.59
1990 04 30    0.44
1990 05 01    2.05
1990 05 02    4.71
1990 05 03    4.42
1990 05 04    4.15
1990 05 05    4.94
1990 05 06    5.21
1990 05 07    4.16
1990 05 08    5.00
1990 05 09    4.62
1990 05 10    4.15
1990 05 11    5.04
1990 05 12    5.49
1990 05 13    4.31
1990 05 14    3.70
1990 05 15    2.53
1990 05 16    2.51
1990 05 17    3.25
1990 05 18    2.40
1990 05 19    1.22
1990 05 20    5.26
1990 05 21    5.54
1990 05 22    5.06
1990 05 23    7.31
1990 05 24    7.29
1990 05 25    3.80
1990 05 26    2.31
1990 05 27    3.19
1990 05 28    2.28
1990 05 29    5.87
1990 05 30    6.37
1990 05 31    5.74
1990 06 01    2.29
1990 06 02    4.84
1990 06 03    2.09
1990 06 04    4.64
1990 06 05    4.89
1990 06 06    5.11
1990 06 07    5.73
1990 06 08    5.89
1990 06 09    6.60
1990 06 10    6.02
1990 06 11    3.19
1990 06 12    7.61
1990 06 13    4.38
1990 06 14    4.93
1990 06 15    3.47
1990 06 16    4.20
1990 06 17    5.22
1990 06 18    6.42
1990 06 19    5.72
1990 06 20    5.67
1990 06 21    5.71
1990 06 22    6.71
1990 06 23    5.15
1990 06 24    4.31
1990 06 25    3.59
1990 06 26    4.27
1990 06 27    6.70
1990 06 28    6.60
1990 06 29    7.09
1990 06 30    6.60
1990 07 01    2.74
1990 07 02    1.85
1990 07 03    4.40
1990 07 04    4.28
1990 07 05    4.63
1990 07 06    6.38
1990 07 07    4.27
1990 07 08    2.87
1990 07 09    5.98
1990 07 10    7.32
1990 07 11    7.00
1990 07 12    4.28
1990 07 13    3.29
1990 07 14    7.41
1990 07 15    7.77
1990 07 16    4.54
1990 07 17    2.82
1990 07 18    4.09
1990 07 19    7.58
1990 07 20    7.18
1990 07 21    6.74
1990 07 22    6.28
1990 07 23    5.09
1990 07 24    6.40
1990 07 25    6.78
1990 07 26    3.31
1990 07 27    2.68
1990 07 28    3.68
1990 07 29    1.55
1990 07 30    2.40
1990 07 31    3.74
1990 08 01    5.04
1990 08 02    5.42
1990 08 03    1.08
1990 08 04    6.20
1990 08 05    7.10
1990 08 06    4.41
1990 08 07    4.84
1990 08 08    0.88
1990 08 09    1.30
1990 08 10    3.92
1990 08 11    3.21
1990 08 12    4.27
1990 08 13    4.52
1990 08 14    1.52
1990 08 15    2.95
1990 08 16    3.41
1990 08 17    5.46
1990 08 18    5.92
1990 08 19    5.36
1990 08 20    3.58
1990 08 21    2.29
1990 08 22    2.88
1990 08 23    5.50
1990 08 24    2.52
1990 08 25    4.38
1990 08 26    2.36
1990 08 27    3.24
1990 08 28    2.92
1990 08 29    3.12
1990 08 30    3.99
1990 08 31    2.20
1990 09 01    4.44
1990 09 02    4.54
1990 09 03    1.94
1990 09 04    2.26
1990 09 05    2.49
1990 09 06    2.46
1990 09 07    4.55
1990 09 08    3.96
1990 09 09    2.65
1990 09 10    2.90
1990 09 11    1.86
1990 09 12    1.55
1990 09 13    1.83
1990 09 14    1.72
1990 09 15    2.33
1990 09 16    2.86
1990 09 17    2.46
1990 09 18    1.56
1990 09 19    0.70
1990 09 20    1.36
1990 09 21    1.14
1990 09 22    1.15
1990 09 23    2.42
1990 09 24    2.15
1990 09 25    2.74
1990 09 26    2.03
1990 09 27    2.14
1990 09 28    1.70
1990 09 29    0.63
1990 09 30    1.58
1990 10 01    2.07
1990 10 02    2.07
1990 10 03    1.18
1990 10 04    1.00
1990 10 05    1.20
1990 10 06    1.13
1990 10 07    1.13
1990 10 08    0.76
1990 10 09    0.93
1990 10 10    0.82
1990 10 11    0.93
1990 10 12    0.47
1990 10 13    1.24
1990 10 14    1.75
1990 10 15    0.87
1990 10 16    0.44
1990 10 17    0.87
1990 10 18    1.43
1990 10 19    1.33
1990 10 20    0.98
1990 10 21    0.95
1990 10 22    1.05
1990 10 23    1.04
1990 10 24    0.71
1990 10 25    0.98
1990 10 26    0.85
1990 10 27    0.30
1990 10 28    0.51
1990 10 29    0.46
1990 10 30    0.62
1990 10 31    0.66
1990 11 01    0.98
1990 11 02    1.04
1990 11 03    0.77
1990 11 04    0.75
1990 11 05    0.60
1990 11 06    0.48
1990 11 07    0.56
1990 11 08    0.47
1990 11 09    0.39
1990 11 10    0.30
1990 11 11    0.47
1990 11 12    0.31
1990 11 13    0.32
1990 11 14    0.33
1990 11 15    0.37
1990 11 16    0.39
